Drug	Drug Class or Action	Phenotype	Dosage Information	Category	Interpretation	Notes	References
Codeine/ Tramadol	Opioid analgesics	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Use alternative drug	ATYPICAL	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Patients with this genotype may be at increased risk of severe toxicity in response to codeine or tramadol. Select a non-opioid analgesic or an opioid that is not affected by CYP2D6 phenotype."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of toxicity from the opioids codeine and tramadol. CYP2D6 ultrarapid metabolizers may be at increased risk of toxicity, while intermediate and poor metabolizers may be at increased risk of non-response (Crews_2021). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166228101 and https://www.pharmgkb.org/guidelineAnnotation/PA166104996."	Crews_2021
Codeine/ Tramadol	Opioid analgesics	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of codeine or tramadol	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended starting dosage."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of toxicity from the opioids codeine and tramadol. CYP2D6 ultrarapid metabolizers may be at increased risk of toxicity, while intermediate and poor metabolizers may be at increased risk of non-response (Crews_2021). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166228101 and https://www.pharmgkb.org/guidelineAnnotation/PA166104996."	Crews_2021
Codeine/ Tramadol	Opioid analgesics	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Consider use of alternative drug	ATYPICAL	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Use label recommended starting dosage and, if response is less than optimal, consider selecting a non-opioid analgesic or an opioid not affected by CYP2D6 phenotype."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of toxicity from the opioids codeine and tramadol. CYP2D6 ultrarapid metabolizers may be at increased risk of toxicity, while intermediate and poor metabolizers may be at increased risk of non-response (Crews_2021). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166228101 and https://www.pharmgkb.org/guidelineAnnotation/PA166104996. Intermediate and poor metabolizers may also have increased risk of non-response to the opioid hydrocodone; however, evidence is more limited - see https://www.pharmgkb.org/guidelineAnnotation/PA166228121."	Crews_2021
Codeine/ Tramadol	Opioid analgesics	CYP2D6 Poor Metabolizer  - Activity score 0	Use alternative drug	ATYPICAL	"This result indicates that the patient carries no functional alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Patients with this genotype may not respond to treatment with codeine or tramadol. Select a non-opioid analgesic or an opioid that is not affected by CYP2D6 phenotype."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of toxicity from the opioids codeine and tramadol. CYP2D6 ultrarapid metabolizers may be at increased risk of toxicity, while intermediate and poor metabolizers may be at increased risk of non-response (Crews_2021). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166228101 and https://www.pharmgkb.org/guidelineAnnotation/PA166104996. Intermediate and poor metabolizers may also have increased risk of non-response to the opioid hydrocodone; however, evidence is more limited - see https://www.pharmgkb.org/guidelineAnnotation/PA166228121."	Crews_2021
Codeine/ Tramadol	Opioid analgesics	CYP2D6 Indeterminate	No recommendation for codeine or tramadol	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Crews_2021
Amitriptyline/ Nortriptyline/ Clomipramine/ Desipramine/ Doxepin/ Imipramine/ Trimipramine	Tricyclic antidepressants (TCAs)	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Use alternative drug	ATYPICAL	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Patients with this genotype may not respond to treatment with tricyclics. Consider selecting an alternative drug not metabolized by CYP2D6, or if a tricyclic antidepressant is warranted, consider titrating to a higher dose and utilize therapeutic drug monitoring."	"The CPIC guidelines for TCAs include the genes CYP2C19 and CYP2D6. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. (Dosing recommendations for neuropathic pain treatment with lower doses can be found in the text of Hicks_2016.) CYP2D6 ultrarapid, intermediate, or poor and CYP2C19 poor or (ultra)rapid metabolizers may have an increased risk of treatment failure or side effects. Tricyclic antidepressants have comparable pharmacokinetic properties, so it may be reasonable to apply the CPIC guideline for amitriptyline and nortriptyline and CYP2D6 to other TCAs including clomipramine, desipramine, doxepin, imipramine, and trimipramine. Additional information can be found at https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/ and  https://www.pharmgkb.org/guidelineAnnotation/PA166105006, https://www.pharmgkb.org/guidelineAnnotation/PA166104998, https://www.pharmgkb.org/guidelineAnnotation/PA166105007, https://www.pharmgkb.org/guidelineAnnotation/PA166105002, https://www.pharmgkb.org/guidelineAnnotation/PA166105000, https://www.pharmgkb.org/guidelineAnnotation/PA166104999, https://www.pharmgkb.org/guidelineAnnotation/PA166105001."	Hicks_2016
Amitriptyline/ Nortriptyline/ Clomipramine/ Desipramine/ Doxepin/ Imipramine/ Trimipramine	Tricyclic antidepressants (TCAs)	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of TCAs	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended starting dosage."	"The CPIC guidelines for TCAs include the genes CYP2C19 and CYP2D6. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. (Dosing recommendations for neuropathic pain treatment with lower doses can be found in the text of Hicks_2016.) CYP2D6 ultrarapid, intermediate, or poor and CYP2C19 poor or (ultra)rapid metabolizers may have an increased risk of treatment failure or side effects. Tricyclic antidepressants have comparable pharmacokinetic properties, so it may be reasonable to apply the CPIC guideline for amitriptyline and nortriptyline and CYP2D6 to other TCAs including clomipramine, desipramine, doxepin, imipramine, and trimipramine. Additional information can be found at https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/ and  https://www.pharmgkb.org/guidelineAnnotation/PA166105006, https://www.pharmgkb.org/guidelineAnnotation/PA166104998, https://www.pharmgkb.org/guidelineAnnotation/PA166105007, https://www.pharmgkb.org/guidelineAnnotation/PA166105002, https://www.pharmgkb.org/guidelineAnnotation/PA166105000, https://www.pharmgkb.org/guidelineAnnotation/PA166104999, https://www.pharmgkb.org/guidelineAnnotation/PA166105001."	Hicks_2016
Amitriptyline/ Nortriptyline/ Clomipramine/ Desipramine/ Doxepin/ Imipramine/ Trimipramine	Tricyclic antidepressants (TCAs)	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Decrease dosage of TCAs	ATYPICAL	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Patients with this genotype may be at increased risk of side effects in response to TCAs. Consider decreasing the dosage of TCAs and utilize therapeutic drug monitoring."	"The CPIC guidelines for TCAs include the genes CYP2C19 and CYP2D6. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. (Dosing recommendations for neuropathic pain treatment with lower doses can be found in the text of Hicks_2016.) CYP2D6 ultrarapid, intermediate, or poor and CYP2C19 poor or (ultra)rapid metabolizers may have an increased risk of treatment failure or side effects. Tricyclic antidepressants have comparable pharmacokinetic properties, so it may be reasonable to apply the CPIC guideline for amitriptyline and nortriptyline and CYP2D6 to other TCAs including clomipramine, desipramine, doxepin, imipramine, and trimipramine. Additional information can be found at https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/ and  https://www.pharmgkb.org/guidelineAnnotation/PA166105006, https://www.pharmgkb.org/guidelineAnnotation/PA166104998, https://www.pharmgkb.org/guidelineAnnotation/PA166105007, https://www.pharmgkb.org/guidelineAnnotation/PA166105002, https://www.pharmgkb.org/guidelineAnnotation/PA166105000, https://www.pharmgkb.org/guidelineAnnotation/PA166104999, https://www.pharmgkb.org/guidelineAnnotation/PA166105001."	Hicks_2016
Amitriptyline/ Nortriptyline/ Clomipramine/ Desipramine/ Doxepin/ Imipramine/ Trimipramine	Tricyclic antidepressants (TCAs)	CYP2D6 Poor Metabolizer  - Activity score 0	Use alternative drug	ATYPICAL	"This result indicates that the patient carries only no function alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Patients with this genotype may be at increased risk of side effects in response to TCAs. Consider selecting an alternative drug not metabolized by CYP2D6, or if a tricyclic antidepressant is warranted, consider decreasing the dosage and utilize therapeutic drug monitoring."	"The CPIC guidelines for TCAs include the genes CYP2C19 and CYP2D6. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. (Dosing recommendations for neuropathic pain treatment with lower doses can be found in the text of Hicks_2016.) CYP2D6 ultrarapid, intermediate, or poor and CYP2C19 poor or (ultra)rapid metabolizers may have an increased risk of treatment failure or side effects. Tricyclic antidepressants have comparable pharmacokinetic properties, so it may be reasonable to apply the CPIC guideline for amitriptyline and nortriptyline and CYP2D6 to other TCAs including clomipramine, desipramine, doxepin, imipramine, and trimipramine. Additional information can be found at https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/ and  https://www.pharmgkb.org/guidelineAnnotation/PA166105006, https://www.pharmgkb.org/guidelineAnnotation/PA166104998, https://www.pharmgkb.org/guidelineAnnotation/PA166105007, https://www.pharmgkb.org/guidelineAnnotation/PA166105002, https://www.pharmgkb.org/guidelineAnnotation/PA166105000, https://www.pharmgkb.org/guidelineAnnotation/PA166104999, https://www.pharmgkb.org/guidelineAnnotation/PA166105001."	Hicks_2016
Amitriptyline/ Nortriptyline/ Clomipramine/ Desipramine/ Doxepin/ Imipramine/ Trimipramine	Tricyclic antidepressants (TCAs)	CYP2D6 Indeterminate	No recommendation for TCAs	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Hicks_2016
